thr,TP,FP,TN,FN,Precision,Recall,F1
0.05,141,160,0,254,0.468,0.357,0.405
0.1,124,160,0,271,0.437,0.314,0.365
0.15,117,160,0,278,0.422,0.296,0.348
0.2,104,159,1,291,0.395,0.263,0.316
0.25,99,159,1,296,0.384,0.251,0.303
0.3,91,158,2,304,0.365,0.23,0.283
0.35,85,157,3,310,0.351,0.215,0.267
0.4,84,156,4,311,0.35,0.213,0.265
0.45,79,149,11,316,0.346,0.2,0.254
0.5,78,140,20,317,0.358,0.197,0.254
0.55,72,135,25,323,0.348,0.182,0.239
0.6,65,129,31,330,0.335,0.165,0.221
0.65,54,120,40,341,0.31,0.137,0.19
0.7,44,110,50,351,0.286,0.111,0.16
0.75,39,96,64,356,0.289,0.099,0.147
0.8,33,78,82,362,0.297,0.084,0.13
0.85,27,65,95,368,0.293,0.068,0.111
0.9,20,52,108,375,0.278,0.051,0.086
0.95,4,38,122,391,0.095,0.01,0.018
